TAXON,SPECIES,SUBSPECIES,DISSECTED.BY.MOUNTAINS,LAT.RANGE,ENV.SHIELDING,GLACIATION,ISLAND.DWELLING,HABITAT.HETEROGENEITY,BODY.SIZE,MEAN.PRECIP,VARIANCE.PRECIP,PREDICTABILITY.PRECIP,MEAN.TEMP,VARIANCE.TEMP,PREDICTABILITY.TEMP,NPP,BREEDING.RANGE.AREA,ENV.HARSHNESS,GEOGRAPHIC.COVERAGE,RAINFALL.UNPREDICTABILITY,RESIDUAL.BODY.SIZE,SOURCE.HIBERNATION.DATA,N.MOST.LAT,S.MOST.LAT,CENTROID
birds,Accipiter_gundlachi,2,FALSE,Tropical,0,0,1,4,675,104.8120183,8958.119488,0.524957079,24.9275841,3.315015291,0.674938395,7.53E+11,12642.5646,-0.20716888,0.232550116,1.23295135,-1.488317095,,22.898,19.90042,21.00555081
birds,Accipiter_haplochrous,1,FALSE,Tropical,0,0,1,2,204.5,112.7727319,7903.107629,0.465146407,21.90173293,5.333777222,0.707579056,8.26E+11,16389.728,-0.355185986,-0.376116432,1.833222617,-1.162887176,,-20.08518034,-22.39890867,-21.33139497
birds,Accipiter_henstii,1,TRUE,Mixed,0,0,1,3,1050,124.7237066,13485.47416,0.724756979,22.93657922,4.637734069,0.711153574,5.92E+11,503369.2188,-0.292969951,0.376490131,-1.142712427,-1.044283604,,-11.94543,-25.60895,-19.53863591
birds,Accipiter_imitator,1,FALSE,Tropical,0,0,1,1,223,259.1198872,5971.709903,0.914391602,26.4611143,0.382326678,0.834120289,6.65E+11,10049.7813,-1.576187784,-1.914930881,-2.533390295,-0.075347363,,-5.40855,-8.58367,-7.393124786
birds,Accipiter_luteoschistaceus,1,FALSE,Tropical,0,0,1,1,214,333.1553517,22147.02753,0.670440488,25.48232034,0.272423374,0.783348678,8.05E+11,17262.8407,-1.774272485,-0.563235846,0.100818377,-0.7706918,,-4.141236837,-6.309889434,-5.628302281
birds,Accipiter_madagascariensis,1,TRUE,Mixed,0,0,1,3,182,128.1438069,14679.37908,0.715967957,22.60311737,4.58224688,0.710238456,5.99E+11,490587.5267,-0.319854401,0.371219251,-0.790668827,-0.251553456,,-11.94543,-25.19001723,-19.05740118
birds,Accipiter_melanochlamys,2,FALSE,Tropical,0,0,1,2,265,259.4361042,9723.219519,0.730533443,21.27529755,0.429966132,0.777701998,4.03E+11,115451.5727,-0.875168713,-0.733647753,-0.982610508,-0.484296035,,-0.952932986,-10.06829714,-5.30693509
birds,Accipiter_melanoleucus,2,TRUE,Mixed,0,0,0,3,699,94.95256255,8037.155545,0.643355813,23.15024655,4.940255205,0.711642188,5.70E+11,9067087.049,0.022622167,1.110536308,-0.941214147,-0.858267373,,18.83870001,-34.83982999,-5.510014997
birds,Accipiter_meyerianus,1,FALSE,Tropical,0,0,1,1,815,274.5495852,15197.89123,0.717011484,23.18829836,0.337390849,0.786300949,5.57E+11,263179.8653,-1.259521695,-0.428238681,-1.04966056,-1.088681349,,2.293000012,-10.11510727,-4.7636492
birds,Accipiter_minullus,1,TRUE,Mixed,0,0,0,3,88.35,74.75044896,7355.229688,0.637341426,22.02313298,5.863721096,0.706835717,5.02E+11,6794424.644,0.184825582,0.825142179,-0.566513708,0.077137003,,17.80121904,-34.83982801,-9.713794283
birds,Accipiter_nisus,6,TRUE,Temperate,1,0,0,5,237.5,47.40420387,1477.788596,0.665491613,1.467138806,165.8474101,0.505494584,1.74E+11,23613881.14,2.081945081,1.016650678,-0.989165321,-0.050904399,,70.53131136,26.89569827,52.60348888
birds,Accipiter_novaehollandiae,23,TRUE,Mixed,0,0,1,4,375.25,213.6542049,14443.15716,0.636271202,23.44801695,7.43738835,0.73362101,5.45E+11,2649125.048,-0.293367179,1.515989164,-0.389892464,-0.672492724,,0.039370005,-54.7782898,-12.4575464
birds,Accipiter_ovampensis,1,TRUE,Mixed,0,0,0,2,195,76.55955551,7684.724594,0.660372738,22.81355667,6.893836831,0.700729571,4.78E+11,7505603.902,0.083175751,0.504949347,-0.88344375,-0.316515124,,16.75779331,-27.2206854,-8.056253369
birds,Accipiter_poliocephalus,1,TRUE,Tropical,0,0,1,1,215,253.7536959,10856.18951,0.719573853,25.88114927,0.419785444,0.778811706,8.73E+11,671764.4812,-1.397292992,0.04316583,-1.190178125,-0.325981641,,0.039370001,-11.65785,-5.317749212
