"","sp","DR","ssp","lat","region","age","genus","Family","Order","eltonO","eltonF"
"3648","Merops_malimbicus",0.175991042210776,1,0.502662297,"Tropical",4.519202026,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3649","Merops_muelleri",0.175004250547152,2,0.622009705,"Tropical",3.631671356,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3650","Merops_nubicoides",0.63141304731157,1,-16.86499542,"Tropical",0.6359020987,"Merops","Meropidae","Coraciiformes","",""
"3651","Merops_nubicus",0.172373283559553,1,11.73842184,"Tropical",4.757713386,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3652","Merops_oreobates",0.242012485599851,1,-0.684016951,"Tropical",2.370907831,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3653","Merops_orientalis",0.228815921558072,8,18.7789844,"Mixed",3.567043176,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3654","Merops_ornatus",0.287989747424526,1,-22.02187628,"Mixed",2.847059417,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3655","Merops_persicus",0.656715362867852,2,25.22490929,"Mixed",0.7377718819,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3656","Merops_philippinus",0.433334225594867,1,15.20837269,"Mixed",1.143029277,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3657","Merops_pusillus",0.63141304731157,5,-1.098319949,"Mixed",0.6359020987,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3658","Merops_revoilii",0.175991042210776,1,4.796066321,"Tropical",4.519202026,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3659","Merops_superciliosus",0.656715362867852,2,-8.673018124,"Mixed",0.7377718819,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3660","Merops_variegatus",0.395007642041738,4,-0.896874141,"Tropical",0.9311749614,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3661","Merops_viridis",0.317288704521319,2,14.8085207,"Mixed",1.933082249,"Merops","Meropidae","Coraciiformes","Coraciiformes","Meropidae"
"3662","Merulaxis_ater",0.0775639666153424,1,-21.39719327,"Mixed",5.305188071,"Merulaxis","Rhinocryptidae","Passeriformes","Passeriformes","Rhinocryptidae"
"3663","Mesembrinibis_cayennensis",0.0211129334583415,1,3.362509638,"Mixed",39.59049208,"Mesembrinibis","Threskiornithidae","Pelecaniformes","Pelecaniformes","Threskiornithidae"
"3664","Mesitornis_unicolor",0.0328665275077988,1,-18.06600089,"Mixed",15.028036,"Mesitornis","Mesitornithidae","Mesitornithiformes","Mesitornithiformes","Mesitornithidae"
"3665","Mesophoyx_intermedia",0.0477376156046193,3,-2.35608182,"Mixed",13.76904953,"Mesophoyx","Ardeidae","Pelecaniformes","Pelecaniformes","Ardeidae"
"3666","Metallura_aeneocauda",0.226902399340263,2,-13.73634062,"Tropical",3.11890473,"Metallura","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"3667","Metallura_baroni",0.958630977795756,1,-2.853922645,"Tropical",0.3532721301,"Metallura","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"3668","Metallura_eupogon",0.545365591685255,1,-11.58545516,"Tropical",0.9005369949,"Metallura","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"3669","Metallura_phoebe",0.147966252034597,1,-12.59103014,"Tropical",5.056949038,"Metallura","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"3670","Metallura_theresiae",0.936705248523009,2,-7.652873655,"Tropical",0.3015110033,"Metallura","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"3671","Metallura_tyrianthina",0.175578511914129,7,-5.149925574,"Tropical",4.632617711,"Metallura","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"3672","Metallura_williami",0.958630977795756,4,0.035066635,"Tropical",0.3532721301,"Metallura","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"3673","Metopidius_indicus",0.0269860121587202,1,19.20984074,"Mixed",30.15126769,"Metopidius","Jacanidae","Charadriiformes","Charadriiformes","Jacanidae"
"3674","Metriopelia_aymara",0.0560342840817176,1,-22.0170862,"Mixed",10.24627235,"Metriopelia","Columbidae","Columbiformes","Columbiformes","Columbidae"
"3675","Metriopelia_ceciliae",0.130386706766428,3,-14.50405256,"Tropical",2.328825798,"Metriopelia","Columbidae","Columbiformes","Columbiformes","Columbidae"
"3676","Metriopelia_melanoptera",0.0768629984295233,2,-25.49897587,"Mixed",8.174105282,"Metriopelia","Columbidae","Columbiformes","Columbiformes","Columbidae"
"3677","Micrastur_gilvicollis",0.104874760632304,1,-2.087282611,"Tropical",0.2576193915,"Micrastur","Falconidae","Falconiformes","Falconiformes","Falconidae"
"3678","Micrastur_mirandollei",0.104874760632304,1,2.175685793,"Tropical",0.2576193915,"Micrastur","Falconidae","Falconiformes","Falconiformes","Falconidae"
"3679","Micrastur_plumbeus",0.0597565380551947,1,2.072162192,"Tropical",5.497999136,"Micrastur","Falconidae","Falconiformes","Falconiformes","Falconidae"
"3680","Micrastur_ruficollis",0.0955493431189446,6,-7.385499785,"Mixed",4.197022885,"Micrastur","Falconidae","Falconiformes","Falconiformes","Falconidae"
"3681","Micrastur_semitorquatus",0.189003539649086,2,2.170520087,"Mixed",0.1160157013,"Micrastur","Falconidae","Falconiformes","Falconiformes","Falconidae"
"3682","Micrathene_whitneyi",0.0228834186770845,4,27.8018896,"Mixed",35.34708943,"Micrathene","Strigidae","Strigiformes","Strigiformes","Strigidae"
"3683","Microbates_cinereiventris",0.086206140423998,4,2.868746529,"Tropical",2.684935356,"Microbates","Polioptilidae","Passeriformes","Passeriformes","Polioptilidae"
"3684","Microbates_collaris",0.086206140423998,3,0.238769344,"Tropical",2.684935356,"Microbates","Polioptilidae","Passeriformes","Passeriformes","Polioptilidae"
"3685","Microcerculus_bambla",0.0815053071649805,3,2.112938005,"Tropical",9.016712655,"Microcerculus","Troglodytidae","Passeriformes","Passeriformes","Troglodytidae"
"3686","Microcerculus_marginatus",0.0644264858229084,3,2.633825201,"Tropical",9.432404759,"Microcerculus","Troglodytidae","Passeriformes","Passeriformes","Troglodytidae"
"3687","Microcerculus_philomela",0.112800881582318,1,15.69447088,"Tropical",5.461218182,"Microcerculus","Troglodytidae","Passeriformes","Passeriformes","Troglodytidae"
"3688","Microcerculus_ustulatus",0.112800881582318,4,4.189251462,"Tropical",5.461218182,"Microcerculus","Troglodytidae","Passeriformes","Passeriformes","Troglodytidae"
"3689","Microchera_albocoronata",0.242366645474855,2,12.39689374,"Tropical",1.846322934,"Microchera","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"3690","Microdynamis_parva",0.0424586700976921,2,-5.331336361,"Tropical",12.7097178,"Microdynamis","Cuculidae","Cuculiformes","Cuculiformes","Cuculidae"
"3691","Microeca_fascinans",0.10157705294965,5,-26.26702685,"Mixed",4.379720489,"Microeca","Petroicidae","Passeriformes","Passeriformes","Petroicidae"
"3692","Microeca_flavigaster",0.0908093420545034,5,-14.64570692,"Tropical",6.714399853,"Microeca","Petroicidae","Passeriformes","Passeriformes","Petroicidae"
