"sp","DR","ssp","lat"
"Andropadus_curvirostris",0.075381179116192,2,0.92944028
"Andropadus_gracilirostris",0.0655432426386378,2,0.490595694
"Andropadus_gracilis",0.118402366263906,3,0.528103171
"Andropadus_importunus",0.0452917784464026,4,-17.62842771
"Andropadus_latirostris",0.0713761453312541,2,1.265705996
"Andropadus_masukuensis",0.0914375119910445,2,-3.915068246
"Andropadus_milanjensis",0.071220426206182,2,-10.97126549
"Andropadus_montanus",0.0611758206531189,1,6.223470274
"Andropadus_nigriceps",0.0797048260650234,6,-3.519059234
"Andropadus_tephrolaemus",0.0914375119910445,2,5.918124134
"Andropadus_virens",0.0713761453312541,6,-0.740643416
"Anhima_cornuta",0.0205432989224615,1,-6.190273513
"Anhinga_anhinga",0.036997844144047,2,12.6977958
"Anhinga_melanogaster",0.0534924647133631,2,14.9803474
"Anisognathus_igniventris",0.322243086371056,4,-6.476967099
"Anisognathus_lacrymosus",0.322243086371056,8,-0.813141475
"Anisognathus_melanogenys",0.209113039103522,1,10.72384076
"Anisognathus_somptuosus",0.154661598308145,9,-2.111691179
"Anodorhynchus_hyacinthinus",0.126801837911919,1,-12.03041739
"Anodorhynchus_leari",0.126801837911919,1,-9.812410964
"Anomalospiza_imberbis",0.0516089341039905,1,-10.48669732
"Anorrhinus_galeritus",0.0708805671425875,1,1.154339745
"Anorrhinus_tickelli",0.113841872698175,2,14.82478777
"Anser_albifrons",0.478376403474653,5,66.16629414
"Anser_brachyrhynchus",0.77601304956162,1,71.96031907
"Anser_cygnoides",1.22407659237569,1,49.80433975
"Anser_erythropus",0.96365057060224,1,68.29012569
"Anser_fabalis",0.478376403474653,5,62.77066079
"Anser_indicus",0.96365057060224,1,41.25307703
"Anseranas_semipalmata",0.0135437289361691,1,-20.53302584
"Anthoscopus_caroli",0.0746731225317763,10,-12.30984418
"Anthoscopus_minutus",0.0490504181824907,3,-25.50393506
"Anthoscopus_musculus",0.129019439780581,1,4.216899281
"Anthoscopus_parvulus",0.0374803071509265,4,10.54282614
"Anthoscopus_punctifrons",0.0626465303712735,1,14.22032379
"Anthracoceros_albirostris",0.0635481057771961,2,14.06869175
"Anthracoceros_coronatus",0.109813708943052,5,19.06921634
"Anthracoceros_malayanus",0.143725835137151,17,0.644670849
"Anthracothorax_dominicus",0.105239822073604,2,18.49660236
"Anthracothorax_mango",0.15278067327912,1,18.15616857
"Anthracothorax_nigricollis",0.178519397570597,1,-4.895303872
"Anthracothorax_prevostii",0.539690645182133,6,14.71862647
"Anthracothorax_viridigula",0.277600917240338,1,1.629385843
"Anthracothorax_viridis",0.224364277040772,1,18.22753799
"Anthreptes_anchietae",0.175416835485725,1,-11.37765443
"Anthreptes_collaris",0.054991059300151,10,-4.742459322
"Anthreptes_fraseri",0.199764528150701,3,1.430250028
"Anthreptes_longuemarei",0.0627994184018638,4,-2.308862615
"Anthreptes_malacensis",0.153412106517308,17,3.226068133
"Anthreptes_metallicus",0.153412106517308,1,15.79660578
"Anthreptes_neglectus",0.153893100701501,1,-7.536266659
"Anthreptes_orientalis",0.0611664888575084,2,2.3815024
"Anthreptes_pallidigaster",0.147226769042039,1,-6.385425226
"Anthreptes_platurus",0.175416835485725,1,11.37784751
"Anthreptes_rectirostris",0.147226769042039,2,1.579962726
"Anthreptes_reichenowi",0.135788102086829,2,-16.72069659
"Anthreptes_rubritorques",0.153893100701501,4,-6.249981859
"Anthreptes_simplex",0.0611664888575084,23,1.427052141
"Anthreptes_singalensis",0.199764528150701,11,10.61138876
"Anthus_berthelotii",0.178152178345058,2,28.79147118
"Anthus_bogotensis",0.0825147366897679,4,-8.208418558
"Anthus_brachyurus",0.0891821562774079,2,-8.623394143
"Anthus_caffer",0.0422388722364319,5,-18.17057598
"Anthus_campestris",0.304871544267165,3,45.89126835
"Anthus_cervinus",0.145405494214349,1,67.22790706
"Anthus_chloris",0.309708585530863,1,-29.57792359
"Anthus_correndera",0.106461996363793,5,-43.96093467
"Anthus_crenatus",0.169764402817226,1,-30.2565327
"Anthus_furcatus",0.177140688364467,2,-31.03535192
"Anthus_godlewskii",0.0891821562774079,1,48.71809684
"Anthus_gustavi",0.0527557232773892,3,56.37391037
"Anthus_gutturalis",0.067054211696083,3,-5.141026462
"Anthus_hellmayri",0.114982041475793,3,-31.16129848
"Anthus_hodgsoni",0.104394036199567,3,39.39567402
"Anthus_hoeschi",0.106461996363793,1,-29.75503226
"Anthus_leucophrys",0.213002026815569,9,-2.012444714
"Anthus_lineiventris",0.118183171663085,1,-15.93435332
"Anthus_lutescens",0.12504871534577,3,-4.585394774
"Anthus_melindae",0.114982041475793,2,0.909078236
"Anthus_nattereri",0.304871544267165,1,-24.51593708
"Anthus_novaeseelandiae",0.0885627641237551,11,-27.08720067
"Anthus_petrosus",0.241929995691517,4,60.28557877
"Anthus_pratensis",0.12727663605901,2,55.87116035
"Anthus_richardi",0.194822445217682,4,19.91333119
"Anthus_roseatus",0.177140688364467,1,31.86508311
"Anthus_rubescens",0.118183171663085,4,63.53069719
"Anthus_rufulus",0.140228367397253,6,25.71982926
"Anthus_similis",0.169764402817226,16,12.53573938
"Anthus_sokokensis",0.209866110934455,1,-4.744226517
"Anthus_spinoletta",0.309708585530863,3,43.8193184
"Anthus_spragueii",0.174390358747545,1,50.40452443
"Anthus_sylvanus",0.174390358747545,1,26.5882494
"Anthus_trivialis",0.104394036199567,3,56.31468959
"Anthus_vaalensis",0.12504871534577,5,-18.82279702
"Antilophia_galeata",0.202256163948145,1,-16.48630133
"Anumbius_annumbi",0.0853964060754908,1,-28.88980707
"Anurolimnas_castaneiceps",0.105247759125588,2,-5.526855763
"Anurolimnas_viridis",0.0671407167747558,2,-7.222908715
"Anurophasis_monorthonyx",0.237705741969302,1,-4.124969323
"Apalis_binotata",0.119467504223663,1,0.629679042
"Apalis_chapini",0.286639638543583,2,-9.10215259
"Apalis_chirindensis",0.192840926348308,2,-18.72407158
"Apalis_cinerea",0.262755496165142,4,-1.017400565
"Apalis_flavida",0.286639638543583,8,-5.76508627
"Apalis_jacksoni",0.27655593842712,3,-1.4332709
"Apalis_karamojae",0.177257031248682,2,-2.356174216
"Apalis_melanocephala",0.129503578376983,9,-8.729226343
"Apalis_nigriceps",0.129158115906779,2,4.116752278
"Apalis_personata",0.400641585419112,2,-2.095243582
"Apalis_porphyrolaema",0.129503578376983,2,-1.415538476
"Apalis_ruddi",0.19491051392138,3,-23.92197299
"Apalis_rufogularis",0.400641585419112,6,0.137313399
"Apalis_sharpii",0.379160623458149,1,7.005573126
"Apalis_thoracica",0.0870667242493283,21,-21.16453122
"Apaloderma_narina",0.074481145434752,4,-3.622129802
"Apaloderma_vittatum",0.0447454096933039,1,-3.265645706
"Aphanotriccus_audax",0.216595895883441,1,8.480315553
"Aphanotriccus_capitalis",0.216595895883441,1,10.43309963
"Aphantochroa_cirrochloris",0.137611872267402,1,-19.95404412
"Aphelocephala_leucopsis",0.115393379651402,3,-29.45128987
"Aphelocephala_nigricincta",0.0596730006442727,1,-25.26685281
"Aphelocephala_pectoralis",0.115393379651402,1,-28.41647637
"Aphrastura_spinicauda",0.0730155119421468,3,-45.16220655
